Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PHP Travels,Chrome 73.0.3683.103,,2019-04-17 16:32:02,2019-04-17 16:34:07,2m - 5.787s,PASSED
,,,,,,
Test Cases/Language,Chrome 73.0.3683.103,,2019-04-17 16:32:02,2019-04-17 16:33:21,1m - 19.382s,PASSED
openBrowser,Chrome 73.0.3683.103,,2019-04-17 16:32:03,2019-04-17 16:32:34,31.857s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:32:34,2019-04-17 16:32:37,2.655s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:32:37,2019-04-17 16:32:39,2.040s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:32:39,2019-04-17 16:32:41,1.748s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:32:41,2019-04-17 16:32:43,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:32:43,2019-04-17 16:32:43,0.115s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:32:43,2019-04-17 16:32:45,2.000s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:32:45,2019-04-17 16:32:48,3.004s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:32:48,2019-04-17 16:32:50,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:32:50,2019-04-17 16:32:50,0.165s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:32:50,2019-04-17 16:32:52,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:32:52,2019-04-17 16:32:54,1.508s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:32:54,2019-04-17 16:32:56,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:32:56,2019-04-17 16:32:56,0.116s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:32:56,2019-04-17 16:32:58,2.008s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:32:58,2019-04-17 16:33:00,2.384s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:00,2019-04-17 16:33:02,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:02,2019-04-17 16:33:02,0.115s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:02,2019-04-17 16:33:04,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:04,2019-04-17 16:33:06,1.973s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:06,2019-04-17 16:33:08,2.000s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:08,2019-04-17 16:33:08,0.123s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:08,2019-04-17 16:33:10,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:10,2019-04-17 16:33:14,3.362s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:14,2019-04-17 16:33:16,2.049s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:16,2019-04-17 16:33:16,0.167s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:16,2019-04-17 16:33:18,2.000s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:18,2019-04-17 16:33:19,1.468s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:19,2019-04-17 16:33:21,2.002s,PASSED
,,,,,,
Test Cases/Currency,Chrome 73.0.3683.103,,2019-04-17 16:33:21,2019-04-17 16:34:05,43.865s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:22,2019-04-17 16:33:22,0.152s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:22,2019-04-17 16:33:24,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:24,2019-04-17 16:33:24,0.126s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:24,2019-04-17 16:33:26,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:26,2019-04-17 16:33:26,0.232s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:26,2019-04-17 16:33:28,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:28,2019-04-17 16:33:28,0.129s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:28,2019-04-17 16:33:30,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:30,2019-04-17 16:33:31,0.155s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:31,2019-04-17 16:33:33,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:33,2019-04-17 16:33:33,0.114s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:33,2019-04-17 16:33:35,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:35,2019-04-17 16:33:35,0.134s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:35,2019-04-17 16:33:37,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:37,2019-04-17 16:33:37,0.117s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:37,2019-04-17 16:33:39,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:39,2019-04-17 16:33:39,0.168s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:39,2019-04-17 16:33:41,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:41,2019-04-17 16:33:41,0.134s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:41,2019-04-17 16:33:43,2.004s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:43,2019-04-17 16:33:44,0.182s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:44,2019-04-17 16:33:46,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:46,2019-04-17 16:33:46,0.676s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:46,2019-04-17 16:33:48,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:48,2019-04-17 16:33:48,0.136s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:48,2019-04-17 16:33:50,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:50,2019-04-17 16:33:50,0.116s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:50,2019-04-17 16:33:52,2.003s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:52,2019-04-17 16:33:53,0.183s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:53,2019-04-17 16:33:55,2.002s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:55,2019-04-17 16:33:55,0.123s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:55,2019-04-17 16:33:57,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:57,2019-04-17 16:33:57,0.151s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:57,2019-04-17 16:33:59,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:33:59,2019-04-17 16:33:59,0.101s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:33:59,2019-04-17 16:34:01,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:34:01,2019-04-17 16:34:01,0.161s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:34:01,2019-04-17 16:34:03,2.001s,PASSED
click,Chrome 73.0.3683.103,,2019-04-17 16:34:03,2019-04-17 16:34:03,0.146s,PASSED
delay,Chrome 73.0.3683.103,,2019-04-17 16:34:03,2019-04-17 16:34:05,2.002s,PASSED
